,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
103,1.1740430831909179,0.01886516963190579,0.01709599494934082,0.0016745170699579562,True,30,6,8,32,100,"{'bootstrap': True, 'max_depth': 30, 'max_features': 6, 'min_samples_leaf': 8, 'min_samples_split': 32, 'n_estimators': 100}",-76.57997503179348,-92.54500222531159,-93.25790618315479,-88.07579173120531,-100.2445634700389,-90.1406477283008,7.819754579375722,96,-78.3926889298682,-75.93573186379115,-74.9238434520105,-76.41087173568958,-72.42316310739228,-75.61725981775034,1.9553685651657566
104,1.1515985488891602,0.06951712016408666,0.018625497817993164,0.00403297957044759,True,30,6,16,4,100,"{'bootstrap': True, 'max_depth': 30, 'max_features': 6, 'min_samples_leaf': 16, 'min_samples_split': 4, 'n_estimators': 100}",-76.47059543029907,-93.04531926754757,-94.15230924038357,-88.91216212474481,-99.89301096356911,-90.49467940530882,7.840815621830047,135,-82.13064126639576,-79.0368970261895,-77.67294513426857,-79.45336721212702,-75.53758625356356,-78.76628737850889,2.167214506198484
105,1.1575103759765626,0.040435654258890376,0.019299793243408202,0.004192363698972476,True,30,6,16,8,100,"{'bootstrap': True, 'max_depth': 30, 'max_features': 6, 'min_samples_leaf': 16, 'min_samples_split': 8, 'n_estimators': 100}",-76.89462070745827,-92.28090534110363,-94.27418260572374,-88.63281741280825,-100.10943290166192,-90.43839179375117,7.724390170354045,124,-81.87826304744799,-78.96187469965768,-78.0010139678158,-79.34299348570528,-75.48428781787771,-78.73368660370089,2.0691586384251637
106,1.1853420734405518,0.020770227713651685,0.016625118255615235,0.0011881419455020716,True,30,6,16,16,100,"{'bootstrap': True, 'max_depth': 30, 'max_features': 6, 'min_samples_leaf': 16, 'min_samples_split': 16, 'n_estimators': 100}",-76.5980378748359,-93.61332058471365,-94.62343970271634,-88.74409108868338,-99.67788012225215,-90.65135387464028,7.837885309712888,144,-81.83023955859298,-79.15924210083361,-77.99848933271859,-79.45505605148567,-75.54542661546755,-78.79769073181967,2.048177028556681
107,1.1574056148529053,0.03065389002630904,0.017691373825073242,0.0023057979501580027,True,30,6,16,32,100,"{'bootstrap': True, 'max_depth': 30, 'max_features': 6, 'min_samples_leaf': 16, 'min_samples_split': 32, 'n_estimators': 100}",-76.30057596228167,-93.04852737204074,-94.03213143709789,-88.2135951932625,-100.20305215280764,-90.35957642349808,7.998410609291056,110,-81.93979532276404,-79.04322740904159,-77.89748890687436,-79.45052481226587,-75.50244571753052,-78.76669643369527,2.0987377946822305
108,1.0137806415557862,0.05229911198605489,0.016214370727539062,0.0016456356934305195,True,30,6,32,4,100,"{'bootstrap': True, 'max_depth': 30, 'max_features': 6, 'min_samples_leaf': 32, 'min_samples_split': 4, 'n_estimators': 100}",-79.43723467899672,-94.19297262171524,-96.33728930844312,-91.35629723811061,-101.2226054030485,-92.50927985006285,7.288597311045983,166,-88.86413301511192,-85.9319506846637,-84.36586613891637,-85.83601043005264,-82.33869731497548,-85.46733151674403,2.1397024783207637
109,1.0214237689971923,0.08341082090335983,0.01546320915222168,0.0018912924071028425,True,30,6,32,8,100,"{'bootstrap': True, 'max_depth': 30, 'max_features': 6, 'min_samples_leaf': 32, 'min_samples_split': 8, 'n_estimators': 100}",-79.21178064500367,-94.47878755306205,-96.35111384289416,-91.51271960671683,-101.3129110756783,-92.573462544671,7.401872629450068,177,-88.76478931998513,-85.8835218708915,-84.23129661252294,-85.79196853999834,-82.0986908484164,-85.35405343836285,2.189209637904212
110,0.9709657192230224,0.01477740985060656,0.016387081146240233,0.004194938931333989,True,30,6,32,16,100,"{'bootstrap': True, 'max_depth': 30, 'max_features': 6, 'min_samples_leaf': 32, 'min_samples_split': 16, 'n_estimators': 100}",-79.61763762024522,-94.26305888283264,-96.16177232766668,-91.37457086890831,-101.0448816177901,-92.49238426348859,7.1659405004683885,161,-88.72785258567595,-85.79787125828923,-84.3943484226492,-85.72486629648807,-82.21363009370467,-85.37171373136144,2.121260483324094
111,1.0099565982818604,0.03342608536573718,0.018179655075073242,0.0040960271339041164,True,30,6,32,32,100,"{'bootstrap': True, 'max_depth': 30, 'max_features': 6, 'min_samples_leaf': 32, 'min_samples_split': 32, 'n_estimators': 100}",-79.32691060507354,-93.7774987498443,-96.58613636727304,-91.24936450608729,-101.3009312414768,-92.448168293951,7.360242453908786,155,-88.84765640136484,-85.82036949559867,-84.45698315173908,-85.61616731140067,-82.33272633197997,-85.41478053841665,2.116890629686553
112,1.6434102058410645,0.05522812921366812,0.024720382690429688,0.00487134822659804,True,30,9,4,4,100,"{'bootstrap': True, 'max_depth': 30, 'max_features': 9, 'min_samples_leaf': 4, 'min_samples_split': 4, 'n_estimators': 100}",-75.9903747771472,-91.43419730510615,-92.42315969342214,-88.45160747125041,-99.97720960547146,-89.65530977047948,7.8172424531615725,75,-58.16899559119693,-56.43214326003951,-55.47694584017644,-56.57604408277679,-53.73841129355876,-56.07850801354969,1.454693647981261
113,1.62228102684021,0.07604434052800266,0.023966550827026367,0.0025817561945645326,True,30,9,4,8,100,"{'bootstrap': True, 'max_depth': 30, 'max_features': 9, 'min_samples_leaf': 4, 'min_samples_split': 8, 'n_estimators': 100}",-74.9956427468875,-91.06167392047837,-92.00989112019325,-87.87101793096602,-99.62796592202972,-89.11323832811097,8.044825809672474,10,-58.3928960918347,-56.40371994624456,-55.50537599849742,-56.42114182912063,-53.96686644679366,-56.13800006249819,1.4387054461102797
114,1.4468384742736817,0.05671039566816457,0.021243524551391602,0.003360021662965224,True,30,9,4,16,100,"{'bootstrap': True, 'max_depth': 30, 'max_features': 9, 'min_samples_leaf': 4, 'min_samples_split': 16, 'n_estimators': 100}",-75.25747066433283,-91.7846566691614,-91.5879887312214,-87.67832392853892,-100.09390363658206,-89.28046872596732,8.09613886966027,26,-66.85358784581166,-64.69133270384185,-63.64744967780722,-64.89458788315422,-61.66058087823211,-64.3495077977694,1.697503286318764
