,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_max_depth,param_min_child_weight,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
15,0.28845667839050293,0.01749057225760481,0.009291934967041015,0.002177467045959654,0.3,8,11,100,1,"{'colsample_bytree': 0.3, 'max_depth': 8, 'min_child_weight': 11, 'n_estimators': 100, 'subsample': 1}",-93.73359905684427,-102.49880483923265,-110.15559143851657,-110.072328769223,-115.29868996102624,-106.35180281296854,7.515618009928037,81
16,0.322950553894043,0.008819899120137102,0.010688400268554688,0.0017439091698565705,0.3,10,5,100,0.8,"{'colsample_bytree': 0.3, 'max_depth': 10, 'min_child_weight': 5, 'n_estimators': 100, 'subsample': 0.8}",-99.9245659961845,-110.33670677406785,-113.92834815594861,-118.59100508000478,-120.9719879230606,-112.75052278585326,7.394899192582074,96
17,0.2951016426086426,0.02200749799352671,0.01037755012512207,0.002211294894145919,0.3,10,5,100,1,"{'colsample_bytree': 0.3, 'max_depth': 10, 'min_child_weight': 5, 'n_estimators': 100, 'subsample': 1}",-99.14596035423885,-108.29586046528159,-114.08735282993392,-116.27985556659412,-119.33968045155797,-111.42974193352129,7.125533358760803,95
18,0.29236741065979005,0.006982950219381325,0.016536951065063477,0.008735314275554617,0.3,10,7,100,0.8,"{'colsample_bytree': 0.3, 'max_depth': 10, 'min_child_weight': 7, 'n_estimators': 100, 'subsample': 0.8}",-97.48939104380804,-108.82327436901213,-113.51873131358852,-116.78141722143313,-119.81479962888903,-111.28552271534618,7.801750543956631,94
19,0.2814833641052246,0.041375397319692454,0.011812591552734375,0.002577676444564199,0.3,10,7,100,1,"{'colsample_bytree': 0.3, 'max_depth': 10, 'min_child_weight': 7, 'n_estimators': 100, 'subsample': 1}",-98.05372167348924,-106.5718988880272,-112.5082013550998,-115.26146335371354,-118.29809812601297,-110.13867667926854,7.1721933904579025,93
20,0.2874152183532715,0.02639553684101144,0.017129945755004882,0.008648883631813849,0.3,10,9,100,0.8,"{'colsample_bytree': 0.3, 'max_depth': 10, 'min_child_weight': 9, 'n_estimators': 100, 'subsample': 0.8}",-96.74035069271753,-106.52022638230754,-111.7079211212148,-114.12425474391414,-118.21702292193557,-109.46195517241793,7.401697108753777,91
21,0.4531108379364014,0.041212145415952896,0.020300769805908205,0.014371418492207588,0.3,10,9,100,1,"{'colsample_bytree': 0.3, 'max_depth': 10, 'min_child_weight': 9, 'n_estimators': 100, 'subsample': 1}",-97.48573989153623,-104.52512647563421,-112.56315680804649,-114.00132758748555,-118.91703218876418,-109.49847659029334,7.581783112937678,92
22,0.41075496673583983,0.06164974795759216,0.012444257736206055,0.0025917881024430443,0.3,10,11,100,0.8,"{'colsample_bytree': 0.3, 'max_depth': 10, 'min_child_weight': 11, 'n_estimators': 100, 'subsample': 0.8}",-96.55429498427013,-106.12395132691142,-110.98932747249204,-113.94644699899753,-118.05237613635563,-109.13327938380534,7.3952510134351055,89
23,0.2946221351623535,0.021370036038714246,0.011520099639892579,0.0034762619250653225,0.3,10,11,100,1,"{'colsample_bytree': 0.3, 'max_depth': 10, 'min_child_weight': 11, 'n_estimators': 100, 'subsample': 1}",-95.68566125363675,-103.06806564533609,-110.42576825336975,-112.49323761736964,-116.8873448198277,-107.71201551790799,7.491470800597019,85
24,0.320799732208252,0.06150662494594107,0.00960540771484375,0.0024104852929321715,0.4,6,5,100,0.8,"{'colsample_bytree': 0.4, 'max_depth': 6, 'min_child_weight': 5, 'n_estimators': 100, 'subsample': 0.8}",-85.12962458917761,-98.88802561024245,-99.34796916445812,-100.84815151278114,-110.49443669803915,-98.94164151493969,8.099896854850108,40
25,0.26259655952453614,0.0057653673768845,0.007684659957885742,0.002779058852427937,0.4,6,5,100,1,"{'colsample_bytree': 0.4, 'max_depth': 6, 'min_child_weight': 5, 'n_estimators': 100, 'subsample': 1}",-84.59353381137208,-97.11338587986604,-101.1425017456412,-100.62802599893055,-110.96811171946075,-98.88911183105412,8.503182703730063,38
26,0.27411413192749023,0.01822540743196606,0.007665681838989258,0.0025204790215976446,0.4,6,7,100,0.8,"{'colsample_bytree': 0.4, 'max_depth': 6, 'min_child_weight': 7, 'n_estimators': 100, 'subsample': 0.8}",-85.48026806942929,-98.35975311481062,-100.12739403842923,-102.74593116563719,-108.52846211891294,-99.04836170144387,7.6062603327100495,43
27,0.29829745292663573,0.036975747647526674,0.006635427474975586,0.001940592185858635,0.4,6,7,100,1,"{'colsample_bytree': 0.4, 'max_depth': 6, 'min_child_weight': 7, 'n_estimators': 100, 'subsample': 1}",-84.1857614188266,-96.53728960724037,-98.96084233714825,-99.50259869700031,-109.27507539730564,-97.69231349150422,8.035019606561338,30
28,0.2862539768218994,0.010304924126142022,0.006972885131835938,0.002050543106969176,0.4,6,9,100,0.8,"{'colsample_bytree': 0.4, 'max_depth': 6, 'min_child_weight': 9, 'n_estimators': 100, 'subsample': 0.8}",-83.89547858240863,-97.68810942843895,-99.08273426227215,-100.55097582175881,-108.00401954611205,-97.84426352819811,7.831650261720883,33
29,0.26481199264526367,0.006506690617844527,0.005646228790283203,0.0002243963951441173,0.4,6,9,100,1,"{'colsample_bytree': 0.4, 'max_depth': 6, 'min_child_weight': 9, 'n_estimators': 100, 'subsample': 1}",-83.12614706837013,-96.10407257981136,-96.92345371901777,-99.30825518907054,-109.99200230330236,-97.09078617191444,8.571712730437286,26
30,0.26651487350463865,0.0034267573967813585,0.005940437316894531,0.00046320659568574186,0.4,6,11,100,0.8,"{'colsample_bytree': 0.4, 'max_depth': 6, 'min_child_weight': 11, 'n_estimators': 100, 'subsample': 0.8}",-83.19904891125529,-97.40607948901874,-99.29888912745959,-99.86735668566304,-109.28956496177238,-97.81218783503381,8.388956295526077,32
31,0.2412863254547119,0.007602199307559711,0.005966043472290039,0.0004899690698662331,0.4,6,11,100,1,"{'colsample_bytree': 0.4, 'max_depth': 6, 'min_child_weight': 11, 'n_estimators': 100, 'subsample': 1}",-82.62012778127259,-97.10763615950509,-99.28901874572699,-98.34645167649235,-110.94080043972667,-97.66080696054473,9.011186794312296,29
32,0.35687646865844724,0.014292566011718001,0.008404731750488281,0.000594261319125095,0.4,8,5,100,0.8,"{'colsample_bytree': 0.4, 'max_depth': 8, 'min_child_weight': 5, 'n_estimators': 100, 'subsample': 0.8}",-86.85493956025628,-104.70334929307691,-102.37069585421878,-103.02716820579458,-112.16768537390517,-101.82476765745034,8.259560969646605,63
33,0.35242471694946287,0.009628861071086433,0.007294654846191406,0.0004179477283632266,0.4,8,5,100,1,"{'colsample_bytree': 0.4, 'max_depth': 8, 'min_child_weight': 5, 'n_estimators': 100, 'subsample': 1}",-87.06414145277107,-102.04280982919168,-104.18716289156329,-100.73063392591101,-114.8907702147963,-101.78310366284667,8.892844444764718,62
34,0.3687893867492676,0.0039007164937552657,0.007494926452636719,0.0003836981830657007,0.4,8,7,100,0.8,"{'colsample_bytree': 0.4, 'max_depth': 8, 'min_child_weight': 7, 'n_estimators': 100, 'subsample': 0.8}",-86.88771466252675,-104.18545402814006,-106.12651876822612,-105.06637358253889,-113.81496645926836,-103.21620550014003,8.85195836934765,67
35,0.34585037231445315,0.01842983061983927,0.008176946640014648,0.000895754518537566,0.4,8,7,100,1,"{'colsample_bytree': 0.4, 'max_depth': 8, 'min_child_weight': 7, 'n_estimators': 100, 'subsample': 1}",-87.14885540594788,-98.25417603999479,-102.35645961050179,-100.20516176784129,-111.7104433410605,-99.93501923306926,7.885533370258562,55
36,0.35410466194152834,0.018527820349508586,0.011979627609252929,0.007633586353961585,0.4,8,9,100,0.8,"{'colsample_bytree': 0.4, 'max_depth': 8, 'min_child_weight': 9, 'n_estimators': 100, 'subsample': 0.8}",-89.45606246424734,-103.84303435080098,-104.66079633433405,-105.48219767044058,-112.96365251088986,-103.28114866614256,7.641304196584134,68
37,0.3964212417602539,0.02650006730130931,0.018365144729614258,0.007451775784568894,0.4,8,9,100,1,"{'colsample_bytree': 0.4, 'max_depth': 8, 'min_child_weight': 9, 'n_estimators': 100, 'subsample': 1}",-86.38408356253166,-96.8803875571074,-101.54291916028178,-98.43938594969724,-112.5508174652732,-99.15951873897825,8.41346840810734,46
38,0.4524343967437744,0.015032525942256307,0.010547208786010741,0.0014521040595379647,0.4,8,11,100,0.8,"{'colsample_bytree': 0.4, 'max_depth': 8, 'min_child_weight': 11, 'n_estimators': 100, 'subsample': 0.8}",-87.77118465505504,-101.02096571830157,-104.11990518011167,-104.13354586424842,-112.13345209694502,-101.83581070293235,7.937452625969108,64
