Datetime,site_name,CI0_cm,CI1_cm,Iclr,I,k,HR,CI0_ov,CI1_ov
2023-02-11 09:00:00+07:00,ISL033,0.3607843137254902,0.3411764705882353,413.4429594821033,400.8457,0.9695308404867188,9,0.0588235294117647,0.0784313725490196
2023-02-11 09:30:00+07:00,ISL033,0.4196078431372549,0.3607843137254902,518.8661488989283,284.9385,0.5491560792791362,9,0.0117647058823529,0.0588235294117647
2023-02-11 10:00:00+07:00,ISL033,0.4901960784313725,0.4196078431372549,612.6288582724168,733.4994,1.1972981522098587,10,0.0352941176470588,0.0117647058823529
2023-02-11 10:30:00+07:00,ISL033,0.396078431372549,0.4901960784313725,692.4187795346314,770.9761,1.113453480447434,10,0.0392156862745098,0.0352941176470588
2023-02-11 11:00:00+07:00,ISL033,0.392156862745098,0.396078431372549,756.4784269044962,768.8511,1.0163556192159142,11,0.0588235294117647,0.0392156862745098
2023-02-11 11:30:00+07:00,ISL033,0.3137254901960784,0.392156862745098,803.4834635017147,733.5959,0.9130192882910956,11,0.0862745098039215,0.0588235294117647
2023-02-11 12:00:00+07:00,ISL033,0.3490196078431372,0.3137254901960784,832.4967507741942,917.5987,1.1022249626159668,12,0.1098039215686274,0.0862745098039215
2023-02-11 12:30:00+07:00,ISL033,0.2901960784313726,0.3490196078431372,842.9513979519317,903.1103,1.0713669876984997,12,0.1137254901960784,0.1098039215686274
2023-02-11 13:00:00+07:00,ISL033,0.3176470588235294,0.2901960784313726,834.645019507415,803.7198,0.9629480572163884,13,0.0941176470588235,0.1137254901960784
2023-02-11 13:30:00+07:00,ISL033,0.2901960784313726,0.3176470588235294,807.7383358543362,873.9403,1.0819596659054724,13,0.1450980392156863,0.0941176470588235
2023-02-11 14:00:00+07:00,ISL033,0.2784313725490196,0.2901960784313726,762.7562592938335,738.9084,0.9687346265556548,14,0.2039215686274509,0.1450980392156863
2023-02-11 14:30:00+07:00,ISL033,0.2901960784313726,0.2784313725490196,700.592915613811,762.9592,1.08901929065547,14,0.0823529411764705,0.2039215686274509
2023-02-11 15:00:00+07:00,ISL033,0.2705882352941176,0.2901960784313726,622.5267001020459,665.6937,1.0693416039679553,15,0.0745098039215686,0.0823529411764705
2023-02-11 15:30:00+07:00,ISL033,0.3490196078431372,0.2705882352941176,530.261357599014,564.951,1.065419895121263,15,0.3176470588235294,0.0745098039215686
2023-02-11 16:00:00+07:00,ISL033,0.2901960784313726,0.3490196078431372,426.0347125931133,457.4471,1.0737319905593872,16,0.2313725490196078,0.3176470588235294
2023-02-12 08:00:00+07:00,ISL033,0.403921568627451,0.5450980392156862,184.1154086882832,249.1039,1.352976927758098,8,0.0627450980392156,0.0470588235294117
2023-02-12 08:30:00+07:00,ISL033,0.3333333333333333,0.403921568627451,301.62726455079445,358.926,1.1899653717794345,8,0.0549019607843137,0.0627450980392156
2023-02-12 09:00:00+07:00,ISL033,0.3254901960784314,0.3333333333333333,415.74229660714974,451.4586,1.0859097178332084,9,0.0470588235294117,0.0549019607843137
2023-02-12 09:30:00+07:00,ISL033,0.3843137254901961,0.3254901960784314,521.3610984049393,654.0063,1.2544209800095896,9,0.0745098039215686,0.0470588235294117
2023-02-12 10:00:00+07:00,ISL033,0.4274509803921568,0.3843137254901961,615.2897286069651,693.608,1.1272868174970998,10,0.1176470588235294,0.0745098039215686
2023-02-12 10:30:00+07:00,ISL033,0.3607843137254902,0.4274509803921568,695.2183330656578,771.3624,1.109525401320438,10,0.0352941176470588,0.1176470588235294
2023-02-12 11:00:00+07:00,ISL033,0.3137254901960784,0.3607843137254902,759.3896728389568,808.4528,1.0646086310044514,11,0.0470588235294117,0.0352941176470588
2023-02-12 11:30:00+07:00,ISL033,0.3137254901960784,0.3137254901960784,806.4788940463736,759.6751,0.9419652586175647,11,0.0823529411764705,0.0470588235294117
2023-02-12 12:00:00+07:00,ISL033,0.3450980392156862,0.3137254901960784,835.5481763553424,806.9073,0.9657220527004512,12,0.0980392156862745,0.0823529411764705
2023-02-12 12:30:00+07:00,ISL033,0.3215686274509804,0.3450980392156862,846.0300528211917,950.1493,1.1230680243941806,12,0.2078431372549019,0.0980392156862745
2023-02-12 13:00:00+07:00,ISL033,0.2823529411764706,0.3215686274509804,837.7217835960981,875.9687,1.0456558694698364,13,0.0588235294117647,0.2078431372549019
2023-02-12 13:30:00+07:00,ISL033,0.2588235294117647,0.2823529411764706,810.7839885089226,911.4169,1.124118030100899,13,0.0549019607843137,0.0588235294117647
2023-02-12 14:00:00+07:00,ISL033,0.2705882352941176,0.2588235294117647,765.7417053342089,813.9583,1.062967178527578,14,0.0666666666666666,0.0549019607843137
2023-02-12 14:30:00+07:00,ISL033,0.4,0.2705882352941176,703.4893005506917,760.158,1.080553747448537,14,0.0705882352941176,0.0666666666666666
2023-02-12 15:00:00+07:00,ISL033,0.2431372549019607,0.4,625.3052602852244,668.3016,1.0687605597547083,15,0.0745098039215686,0.0705882352941176
