Datetime,CI0_cm,CI1_cm,CI0_ov,CI1_ov,Iclr,HR
2023-04-21 15:30:00,0.0117647058823529,0.0117647058823529,0.3568627450980392,0.3215686274509804,613.6745431792799,15
2023-03-02 14:20:00,0.0823529411764705,0.0588235294117647,0.2627450980392157,0.2588235294117647,775.3241826354107,14
2023-02-07 18:20:00,0.1803921568627451,0.2666666666666666,0.1176470588235294,0.5686274509803921,0.0,18
2023-05-16 16:20:00,0.0313725490196078,0.0509803921568627,0.396078431372549,0.4705882352941176,427.54749927567417,16
2023-06-13 08:10:00,0.2196078431372549,0.1098039215686274,0.3058823529411765,0.2901960784313726,428.52775261802174,8
2023-04-16 19:40:00,0.4823529411764706,0.3725490196078431,0.0039215686274509,0.0,0.0,19
2023-05-13 11:40:00,0.0588235294117647,0.0745098039215686,0.6470588235294118,0.4549019607843137,970.9584380706806,11
2023-04-24 12:50:00,0.6431372549019608,0.5764705882352941,0.6666666666666666,0.7019607843137254,973.0288741997016,12
2023-02-08 10:30:00,0.0431372549019607,0.0313725490196078,0.2980392156862745,0.3137254901960784,684.0921555838883,10
2023-02-14 08:00:00,0.0313725490196078,0.0392156862745098,0.3098039215686274,0.3843137254901961,188.51490016915628,8
2023-06-07 12:20:00,0.7176470588235294,0.1411764705882353,0.6352941176470588,0.2823529411764706,972.1337252134304,12
2023-06-29 17:00:00,0.3098039215686274,0.1568627450980392,0.5176470588235295,0.4823529411764706,302.17133167776336,17
2023-04-08 16:00:00,0.9686274509803922,0.3725490196078431,0.792156862745098,0.4862745098039215,500.06533582687126,16
2023-06-03 08:10:00,0.0196078431372549,0.0235294117647058,0.2705882352941176,0.2588235294117647,434.79194645929704,8
2023-04-06 19:40:00,0.8862745098039215,0.8235294117647058,0.0117647058823529,0.0,0.0,19
2023-05-03 11:40:00,0.1411764705882353,0.1294117647058823,0.3019607843137254,0.2941176470588235,973.1785373651949,11
2023-03-09 18:00:00,0.0392156862745098,0.0392156862745098,0.4823529411764706,0.403921568627451,20.947428997311896,18
2023-04-18 16:00:00,0.1019607843137254,0.0941176470588235,0.4,0.3490196078431372,501.22756338516496,16
2023-02-10 12:30:00,0.1764705882352941,0.1764705882352941,0.3490196078431372,0.5450980392156862,839.8030124268631,12
2023-06-25 19:30:00,0.7686274509803922,0.6823529411764706,0.0039215686274509,0.0235294117647058,0.0,19
